provincia,departamento,sector,ambito,inicial_1,inicial_2,inicial_3,inicial_4,inicial_5,inicial_6,inicial_7,inicial_8,inicial_9,inicial_10,inicial_11,inicial_12,inicial_1314,inicial_20,m_inicial_1,m_inicial_2,m_inicial_3,m_inicial_4,m_inicial_5,m_inicial_6,m_inicial_7,m_inicial_8,m_inicial_9,m_inicial_10,m_inicial_11,m_inicial_12,m_inicial_1314,m_inicial_20,entrados_1,entrados_2,entrados_3,entrados_4,entrados_5,entrados_6,entrados_7,entrados_8,entrados_9,entrados_10,entrados_11,entrados_12,entrados_1314,entrados_20,m_entrados_1,m_entrados_2,m_entrados_3,m_entrados_4,m_entrados_5,m_entrados_6,m_entrados_7,m_entrados_8,m_entrados_9,m_entrados_10,m_entrados_11,m_entrados_12,m_entrados_1314,m_entrados_20,scp_1,scp_2,scp_3,scp_4,scp_5,scp_6,scp_7,scp_8,scp_9,scp_10,scp_11,scp_12,scp_1314,scp_20,m_scp_1,m_scp_2,m_scp_3,m_scp_4,m_scp_5,m_scp_6,m_scp_7,m_scp_8,m_scp_9,m_scp_10,m_scp_11,m_scp_12,m_scp_1314,m_scp_20,ssp_1,ssp_2,ssp_3,ssp_4,ssp_5,ssp_6,ssp_7,ssp_8,ssp_9,ssp_10,ssp_11,ssp_12,ssp_1314,ssp_20,m_ssp_1,m_ssp_2,m_ssp_3,m_ssp_4,m_ssp_5,m_ssp_6,m_ssp_7,m_ssp_8,m_ssp_9,m_ssp_10,m_ssp_11,m_ssp_12,m_ssp_1314,m_ssp_20,ultimo_1,ultimo_2,ultimo_3,ultimo_4,ultimo_5,ultimo_6,ultimo_7,ultimo_8,ultimo_9,ultimo_10,ultimo_11,ultimo_12,ultimo_1314,ultimo_20,m_ultimo_1,m_ultimo_2,m_ultimo_3,m_ultimo_4,m_ultimo_5,m_ultimo_6,m_ultimo_7,m_ultimo_8,m_ultimo_9,m_ultimo_10,m_ultimo_11,m_ultimo_12,m_ultimo_1314,m_ultimo_20,promovidos_1,promovidos_2,promovidos_3,promovidos_4,promovidos_5,promovidos_6,promovidos_7,promovidos_8,promovidos_9,promovidos_10,promovidos_11,promovidos_12,promovidos_1314,promovidos_20,m_promovidos_1,m_promovidos_2,m_promovidos_3,m_promovidos_4,m_promovidos_5,m_promovidos_6,m_promovidos_7,m_promovidos_8,m_promovidos_9,m_promovidos_10,m_promovidos_11,m_promovidos_12,m_promovidos_1314,m_promovidos_20,promovidos_ex_1,promovidos_ex_2,promovidos_ex_3,promovidos_ex_4,promovidos_ex_5,promovidos_ex_6,promovidos_ex_7,promovidos_ex_8,promovidos_ex_9,promovidos_ex_10,promovidos_ex_11,promovidos_ex_12,promovidos_ex_1314,promovidos_ex_20,m_promovidos_ex_1,m_promovidos_ex_2,m_promovidos_ex_3,m_promovidos_ex_4,m_promovidos_ex_5,m_promovidos_ex_6,m_promovidos_ex_7,m_promovidos_ex_8,m_promovidos_ex_9,m_promovidos_ex_10,m_promovidos_ex_11,m_promovidos_ex_12,m_promovidos_ex_1314,m_promovidos_ex_20,nopromo_1,nopromo_2,nopromo_3,nopromo_4,nopromo_5,nopromo_6,nopromo_7,nopromo_8,nopromo_9,nopromo_10,nopromo_11,nopromo_12,nopromo_1314,nopromo_20,m_nopromo_1,m_nopromo_2,m_nopromo_3,m_nopromo_4,m_nopromo_5,m_nopromo_6,m_nopromo_7,m_nopromo_8,m_nopromo_9,m_nopromo_10,m_nopromo_11,m_nopromo_12,m_nopromo_1314,m_nopromo_20,regulares_1,regulares_2,regulares_3,regulares_4,regulares_5,regulares_6,regulares_7,regulares_8,regulares_9,regulares_10,regulares_11,regulares_12,regulares_1314,regulares_20,m_regulares_1,m_regulares_2,m_regulares_3,m_regulares_4,m_regulares_5,m_regulares_6,m_regulares_7,m_regulares_8,m_regulares_9,m_regulares_10,m_regulares_11,m_regulares_12,m_regulares_1314,m_regulares_20,otros_1,otros_2,otros_3,otros_4,otros_5,otros_6,otros_7,otros_8,otros_9,otros_10,otros_11,otros_12,otros_1314,otros_20,m_otros_1,m_otros_2,m_otros_3,m_otros_4,m_otros_5,m_otros_6,m_otros_7,m_otros_8,m_otros_9,m_otros_10,m_otros_11,m_otros_12,m_otros_1314,m_otros_20,primaria_egresados,primaria_m_egresados,secundaria_egresados,secundaria_m_egresados,ssp_total,inicial_total,tasa_abandono
Buenos Aires,25 DE MAYO,Estatal,Rural,95.0,92.0,90.0,97.0,109.0,103.0,123.0,114.0,127.0,121.0,98.0,89.0,,,42,45,41,48,40,52,60,56,60,47,32,31, , ,5,9,3,5,3,2,3,4,2,1,2,0, , ,2,4,2,2,2,2,2,1,1,1,1,0, , ,4,11,5,2,12,2,4,4,2,0,0,0, , ,0,4,4,2,3,1,3,4,1,0,0,0, , ,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,7.0,3.0,0.0,,,0,0,0,0,0,1,0,0,0,2,2,0, , ,96,90,88,100,100,102,121,113,127,115,97,89, , ,44,45,39,48,39,52,59,53,60,46,31,31, , ,96,89,86,97,100,101,108,96,97,97,70,74, , ,44,45,38,47,39,51,54,50,45,43,26,26, , ,0,0,0,0,0,1,8,9,18,10,19,9, , ,0,0,0,0,0,1,3,1,8,3,5,3, , ,0,1,2,3,0,0,5,8,12,8,8,6, , ,0,0,1,1,0,0,2,2,7,0,0,2, , ,0,0,0,0,0,0,0,0,0,0,0,0, , ,0,0,0,0,0,0,0,0,0,0,0,0, , ,0,0,0,0,0,0,0,0,0,0,1,0, , ,0,0,0,0,0,0,0,0,0,0,0,0, , ,102,52,83,29,13.0,1258.0,1.0333863275039745
Buenos Aires,25 DE MAYO,Estatal,Urbano,286.0,345.0,351.0,320.0,305.0,324.0,416.0,398.0,362.0,349.0,354.0,267.0,33.0,,125,179,174,168,144,173,204,181,181,171,171,155,5, ,13,15,17,14,11,6,9,1,6,2,4,1,0, ,5,4,9,6,5,1,2,1,5,2,3,0,0, ,15,16,20,14,8,3,13,4,9,7,16,3,0, ,4,5,10,7,4,1,8,1,3,4,8,1,0, ,0.0,1.0,0.0,0.0,0.0,0.0,22.0,1.0,0.0,7.0,1.0,0.0,0.0,,0,1,0,0,0,0,12,0,0,2,0,0,0, ,284,343,348,320,308,327,390,394,359,337,341,265,33, ,126,177,173,167,145,173,186,181,183,167,166,154,5, ,284,307,324,305,299,320,251,238,228,200,228,177,15, ,126,164,167,159,142,172,130,125,129,109,124,109,3, ,0,15,15,8,4,6,75,93,74,53,57,32,18, ,0,5,0,3,1,1,25,35,27,23,24,21,2, ,0,21,9,7,5,1,64,63,57,84,56,56,0, ,0,8,6,5,2,0,31,21,27,35,18,24,0, ,0,0,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,0,0,0, ,326,173,209,126,32.0,4110.0,0.7785888077858881
Buenos Aires,25 DE MAYO,Privado,Urbano,138.0,147.0,142.0,136.0,152.0,132.0,129.0,137.0,129.0,110.0,109.0,125.0,,,78,72,76,64,67,60,79,84,71,67,63,68, , ,1,0,3,0,0,0,0,0,0,0,1,0, , ,0,0,1,0,0,0,0,0,0,0,1,0, , ,2,1,2,3,2,1,0,0,3,1,0,1, , ,2,0,2,2,0,0,0,0,2,1,0,0, , ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0,0,0,0,0,0,0,0,0,0,0,0, , ,137,146,143,133,150,131,129,137,126,109,110,124, , ,76,72,75,62,67,60,79,84,69,66,64,68, , ,137,133,130,124,139,131,107,75,93,76,67,74, , ,76,67,68,58,61,60,70,44,48,50,45,43, , ,0,8,12,0,9,0,22,50,23,28,37,37, , ,0,1,7,0,6,0,9,32,17,15,19,19, , ,0,5,1,9,2,0,0,12,10,5,6,13, , ,0,4,0,4,0,0,0,8,4,1,0,6, , ,0,0,0,0,0,0,0,0,0,0,0,0, , ,0,0,0,0,0,0,0,0,0,0,0,0, , ,0,0,0,0,0,0,0,0,0,0,0,0, , ,0,0,0,0,0,0,0,0,0,0,0,0, , ,131,60,111,62,0.0,1586.0,0.0
Buenos Aires,9 DE JULIO,Estatal,Rural,123.0,82.0,135.0,138.0,120.0,113.0,109.0,110.0,99.0,101.0,108.0,88.0,7.0,,57,39,62,69,59,54,55,64,43,51,52,44,4, ,7,5,8,0,5,4,4,6,0,5,2,0,0, ,2,2,4,0,4,3,1,2,0,0,1,0,0, ,7,6,8,4,7,3,6,4,7,10,3,2,0, ,5,4,6,2,6,2,2,2,6,5,2,2,0, ,0.0,0.0,0.0,0.0,1.0,1.0,3.0,1.0,2.0,5.0,1.0,5.0,0.0,,0,0,0,0,0,1,3,1,0,3,1,3,0, ,123,81,135,134,117,113,104,111,90,91,106,81,7, ,54,37,60,67,57,54,51,63,37,43,50,39,4, ,123,77,125,130,115,108,82,81,66,63,77,65,2, ,54,36,56,67,56,52,46,52,31,28,36,31,2, ,0,1,8,2,1,5,21,20,20,14,23,9,5, ,0,0,2,0,1,2,5,7,4,8,10,3,2, ,0,3,2,2,1,0,1,10,4,14,6,7,0, ,0,1,2,0,0,0,0,4,2,7,4,5,0, ,0,0,3,0,0,0,0,0,0,0,1,0,0, ,0,0,1,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,0,0,0, ,113,54,72,35,19.0,1333.0,1.4253563390847712
Buenos Aires,9 DE JULIO,Estatal,Urbano,502.0,524.0,544.0,520.0,503.0,522.0,513.0,571.0,489.0,513.0,460.0,468.0,96.0,,256,275,265,268,233,262,278,274,246,243,240,239,45, ,20,16,28,20,14,14,27,27,29,38,19,12,0, ,6,9,15,8,7,9,17,20,16,20,12,11,0, ,23,16,23,28,17,9,30,29,28,41,29,13,0, ,8,6,13,10,9,2,16,16,17,27,19,9,0, ,0.0,0.0,0.0,0.0,0.0,0.0,6.0,17.0,17.0,12.0,13.0,8.0,0.0,,0,0,0,0,0,0,1,6,12,1,8,6,0, ,499,524,549,512,500,527,504,552,473,498,437,459,96, ,254,278,267,266,231,269,278,272,233,235,225,235,45, ,499,500,527,505,491,524,378,329,256,247,235,289,69, ,254,263,256,261,229,267,227,171,122,118,108,144,34, ,0,16,12,3,8,3,110,161,150,186,154,99,9, ,0,10,7,2,2,2,47,75,85,87,95,57,4, ,0,8,10,4,1,0,16,62,67,65,48,71,18, ,0,5,4,3,0,0,4,26,26,30,22,34,7, ,33,41,39,30,17,0,0,0,0,0,0,0,0, ,14,21,20,11,9,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,0,0,2, ,0,0,0,0,0,0,0,0,0,0,0,0,0, ,527,269,350,189,73.0,6225.0,1.1726907630522088
Buenos Aires,9 DE JULIO,Privado,Urbano,162.0,154.0,169.0,163.0,161.0,162.0,161.0,135.0,134.0,133.0,147.0,146.0,,,87,73,95,92,86,88,86,73,94,59,87,87, , ,1,1,0,2,2,0,1,3,0,0,0,0, , ,1,1,0,1,2,0,0,2,0,0,0,0, , ,2,2,1,1,2,1,3,2,0,1,1,1, , ,1,1,1,1,2,1,2,2,0,1,0,1, , ,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0,0,0,0,0,0,0,0,0,0,0,0, , ,161,153,168,164,160,161,159,136,134,132,146,145, , ,87,73,94,92,86,87,84,73,94,58,87,86, , ,161,152,167,160,155,161,148,120,120,98,119,111, , ,87,73,93,90,83,87,82,67,87,55,70,75, , ,0,0,1,4,5,0,11,14,9,29,23,16, , ,0,0,1,2,3,0,2,6,5,3,14,5, , ,0,1,0,0,0,0,0,2,5,5,4,18, , ,0,0,0,0,0,0,0,0,2,0,3,6, , ,0,0,0,0,0,0,0,0,0,0,0,0, , ,0,0,0,0,0,0,0,0,0,0,0,0, , ,0,0,0,0,0,0,0,0,0,0,0,0, , ,0,0,0,0,0,0,0,0,0,0,0,0, , ,161,87,127,80,1.0,1827.0,0.05473453749315819
Buenos Aires,ADOLFO ALSINA,Estatal,Rural,44.0,42.0,38.0,58.0,46.0,51.0,24.0,29.0,33.0,43.0,36.0,36.0,,,23,20,19,28,21,25,7,15,12,23,18,27, , ,4,6,4,1,2,4,3,2,4,2,1,0, , ,2,2,2,0,1,3,0,1,1,1,1,0, , ,6,5,4,6,4,1,2,0,4,3,4,1, , ,4,1,1,1,1,1,0,0,1,1,3,1, , ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,,,0,0,0,0,0,0,0,0,1,0,0,0, , ,42,43,38,53,44,54,25,31,32,40,33,35, , ,21,21,20,27,21,27,7,16,11,23,16,26, , ,42,40,37,52,43,53,24,24,27,31,33,30, , ,21,19,20,27,21,26,7,10,9,21,16,23, , ,0,0,0,1,0,1,0,2,1,7,0,4, , ,0,0,0,0,0,1,0,1,0,1,0,2, , ,0,3,1,0,1,0,1,5,4,2,0,1, , ,0,2,0,0,0,0,0,5,2,1,0,1, , ,0,0,0,0,0,0,0,0,0,0,0,0, , ,0,0,0,0,0,0,0,0,0,0,0,0, , ,0,1,0,0,0,0,0,0,0,0,0,0, , ,0,0,0,0,0,0,0,0,0,0,0,0, , ,54,27,34,25,3.0,480.0,0.625
Buenos Aires,ADOLFO ALSINA,Estatal,Urbano,157.0,157.0,165.0,156.0,145.0,156.0,188.0,205.0,159.0,152.0,176.0,137.0,38.0,15.0,67,76,78,80,69,83,86,89,67,68,90,71,13,4,7,7,7,6,11,5,8,14,9,10,8,0,0,0,4,3,1,2,5,2,7,7,6,8,6,0,0,0,7,10,6,4,6,5,17,15,11,13,14,6,0,0,3,1,1,1,3,2,9,6,8,9,8,4,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,8.0,4.0,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,157,154,166,158,150,156,178,204,157,141,166,131,38,14,68,78,78,81,71,83,84,90,65,62,85,67,13,4,157,143,146,146,137,149,152,127,113,76,90,61,35, ,68,72,69,77,64,79,73,62,52,44,42,37,13, ,0,5,14,8,11,7,19,54,28,50,51,35,3, ,0,3,5,1,5,4,7,22,11,12,39,17,0, ,0,6,6,4,2,0,7,23,16,15,25,35,0, ,0,3,4,3,2,0,4,6,2,6,4,13,0, ,0,1,0,0,1,0,0,0,1,0,0,0,0, ,0,1,0,0,1,0,0,0,1,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,1,0,0, ,0,0,0,0,0,0,0,0,0,0,1,0,0, ,156,83,93,54,14.0,2006.0,0.6979062811565304
Buenos Aires,ADOLFO GONZALES CHAVES,Estatal,Rural,41.0,50.0,47.0,47.0,45.0,40.0,43.0,48.0,47.0,42.0,29.0,47.0,8.0,,15,27,23,28,22,16,21,28,27,22,12,23,3, ,3,1,1,0,0,0,6,2,5,1,0,0,0, ,3,1,0,0,0,0,2,2,5,1,0,0,0, ,7,5,1,1,3,1,1,7,5,5,6,6,0, ,1,3,0,1,1,0,1,3,3,0,1,4,0, ,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0, ,37,46,47,46,42,39,47,43,47,38,23,41,8, ,17,25,23,27,21,16,22,27,29,23,11,19,3, ,37,45,46,45,40,39,45,41,44,28,21,23,4, ,17,25,23,27,19,16,22,27,29,18,9,14,2, ,0,1,0,0,1,0,0,0,2,7,0,6,0, ,0,0,0,0,1,0,0,0,0,4,0,2,0, ,0,0,1,1,1,0,2,2,1,3,2,12,4, ,0,0,0,0,1,0,0,0,0,1,2,3,1, ,0,0,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,0,0,0, ,39,16,27,14,1.0,534.0,0.18726591760299627
Buenos Aires,ADOLFO GONZALES CHAVES,Estatal,Urbano,103.0,117.0,118.0,110.0,101.0,92.0,39.0,57.0,67.0,67.0,51.0,45.0,10.0,,49,64,62,50,50,48,14,24,34,30,21,24,3, ,1,16,6,7,9,1,9,3,6,12,5,2,0, ,0,8,2,3,5,1,8,1,2,5,2,1,0, ,3,12,2,4,4,1,10,1,1,11,6,2,0, ,0,7,0,1,4,1,2,1,1,5,4,1,0, ,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,6.0,3.0,0.0,,0,0,0,0,0,0,0,0,0,3,3,1,0, ,100,121,122,113,106,92,38,59,68,64,44,42,10, ,49,65,64,52,51,48,20,24,35,27,16,23,3, ,100,115,118,110,102,89,25,47,52,39,23,22,9, ,49,63,62,51,50,46,13,21,30,15,12,13,3, ,0,5,4,3,4,3,8,7,11,14,12,10,0, ,0,2,2,1,1,2,3,1,2,9,1,7,0, ,0,1,0,0,0,0,5,5,5,11,9,10,1, ,0,0,0,0,0,0,4,2,3,3,3,3,0, ,0,2,0,0,0,0,0,1,0,0,0,0,0, ,0,2,0,0,0,0,0,1,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,1,0,0, ,0,0,0,0,0,0,0,0,0,0,0,0,0, ,92,48,36,23,18.0,977.0,1.842374616171955
