provincia;Departamento;sector;ambito;Localizacion;ElectricidadSi;ElectricidadRedpública;ElectricidadGrupoelectrógeno;ElectricidadPanelfotovoltaicosolar;ElectricidadGeneradoreólico;ElectricidadGeneradorhidráulico;ElectricidadOtro;EquipamientoEstablecimientoTelevisor;EquipamientoEstablecimientoSistemamultimediaoCañón;EquipamientoEstablecimientoScanner;EquipamientoEstablecimientoWebcam;EquipamientoEstablecimientoReproductordeCD;EquipamientoEstablecimientoReproductordeDVD;EquipamientoEstablecimientoImpresora;EquipamientoEstablecimientoEquipoemisorderadioAMFM;EquipamientoEstablecimientoEquiporeceptorderadioAMFM;EquipamientoEstablecimientoServidorparausoescolar;EquipamientoEstablecimientoImpresora3D;EquipamientoEstablecimientoEquipodeSonido;EquipamientoEstablecimientoPizarrasdigitales;EquipamientoBibliotecaTelevisor;EquipamientoBibliotecaSistemamultimediaoCañón;EquipamientoBibliotecaScanner;EquipamientoBibliotecaEquipamientoBibliotecaWebcam;EquipamientoBibliotecaReproductordeCD;EquipamientoBibliotecaReproductordeDVD;EquipamientoBibliotecaImpresora;EquipamientoBibliotecaEquipoemisorderadioAMFM;EquipamientoBibliotecaEquiporeceptorderadioAMFM;EquipamientoBibliotecaServidorparausoescolar;InternetTipodeservicioGratuitoEstado;InternetTipodeservicioGratuitoOtro;InternetTipodeservicioPago;InternetTipodeconexiónTelefónica;InternetTipodeconexiónADSL;InternetTipodeconexiónCableMódem;InternetTipodeconexiónSatelital;InternetTipodeconexiónOtroTipo;InternetTipodeconexiónMóvil;EspaciosconconexiónEneláreadeadministración;EspaciosconconexiónEnlasaulas;EspaciosconconexiónEnlabibliotecas;EspaciosconconexiónEnotroespaciodelestablecimiento;EspaciosconconexiónEnellaboratorio;CooperadoraConpersoneríajurídica;CooperadoraSinpersoneríajurídica;CooperadoraNo;SistemadeGestiónEscolarSi;SistemadeGestiónEscolarProvistoporelMinisterio;SistemadeGestiónEscolarDesarrolladoporterceros;SistemadeGestiónEscolarEncargadoporelEstablecimiento;SistemadeGestiónEscolarPlanilladeCalculo;DisponedesalaolaboratoriodeinformáticaSi;LaboratorioFuncionaesespacioexclusivoSi;BibliotecaDisponedealmenosunaSi;BibliotecaFuncionaesespacioexclusivoSi;SubvenciónEstatalJardínMaternalSi;SubvenciónEstatalJardíndeInfantesSi;SubvenciónEstatalPrimariaSi;SubvenciónEstatalSecundariaSi;SubvenciónEstatalSNUSi
Buenos Aires;25 DE MAYO;Estatal;Rural;49;49;48;3; ; ; ; ;34;35;19;9;15;17;41;14; ;2;2;31;14;8;9;3;3;4;4;10;3; ;1;41;6;1;1;2;12;31;6;4;28;44;13;22;3;31;12;6;17;15; ; ;2;10;6;25;14; ; ; ; ; 
Buenos Aires;25 DE MAYO;Estatal;Urbano;43;43;43; ; ; ; ; ;30;28;23;6;14;13;31;20; ;5;3;30;16;14;11;2; ;1;3;2; ; ;2;34;1;8;2;2;22;15;5;2;35;35;21;21;8;23;6;14;15;15; ; ; ;12;3;35;20; ; ; ; ; 
Buenos Aires;25 DE MAYO;Privado;Urbano;9;9;9; ; ; ; ; ;7;6;6;6;6;5;9;3; ;5; ;8;1;3;5;1;2;2;1;3;1; ;2; ; ;9;1; ;7; ; ;5;9;9;5;8;3; ; ;9;6;2; ;3;1;4;1;6;4; ;3;3;3; 
Buenos Aires;9 DE JULIO;Estatal;Rural;50;50;50; ; ; ; ; ;32;38;23;10;16;19;37;13; ;8;3;31;18;15;16;6;2;5;7;8;2; ;2;38;10;2;2;3;19;28;3;1;32;45;21;23;12;22;12;16;16;14; ; ;2;14;7;35;23; ; ; ; ; 
Buenos Aires;9 DE JULIO;Estatal;Urbano;36;36;36; ; ; ; ; ;21;30;17;11;11;12;32;12; ;1;4;28;13;7;9;1;1;2;2;9;2; ; ;23;7;5;7;3;18;9;5;5;32;26;20;20;9;21;7;8;14;13; ;1; ;9;7;29;25; ; ; ; ; 
Buenos Aires;9 DE JULIO;Privado;Urbano;8;8;8; ; ; ; ; ;8;7;6;4;5;5;7;3; ;2; ;7;1;2;1;3; ;1;2;1;1; ;1; ; ;8;1;3;5; ; ;1;8;7;5;6;5; ; ;8;6;4;2; ; ;5;5;5;5; ;2;2;3; 
Buenos Aires;ADOLFO ALSINA;Estatal;Rural;27;26;26; ; ; ; ; ;13;17;16;6;15;8;21;11; ;2; ;16;10;4;6;4;2;5;4;5;4; ;1;22;4; ;2; ;6;18;3;1;19;24;10;11;3;13;7;7;11;11; ; ; ;4;2;16;8; ; ; ; ; 
Buenos Aires;ADOLFO ALSINA;Estatal;Urbano;18;18;18;1; ; ; ; ;18;16;11;5;9;8;18;10; ;3;2;15;11;6;5;2; ;2;1;3;2; ;1;11;4;2;5;3;6;2;6;4;17;17;11;12;4;12;6; ;12;10; ;1;1;4;2;15;9; ; ; ; ; 
Buenos Aires;ADOLFO GONZALES CHAVES;Estatal;Rural;21;21;21; ;1; ; ; ;14;14;6;2;6;7;14;11; ;4;1;10;7;4;5;1; ;3;3;4;4; ;1;18;2;1;4; ;2;15;3;3;10;15;6;7;1;14;6;1;4;3;1; ; ;3; ;13;6; ; ; ; ; 
Buenos Aires;ADOLFO GONZALES CHAVES;Estatal;Urbano;13;13;13;1; ; ; ; ;11;12;5;4;5;5;11;7; ;2;1;10;7;7;6; ; ;2;2;3;3; ;1;10; ;2;2;2;3;3;2;3;11;10;10;8;5;11;2; ;4;3; ; ;1;6;1;11;9; ; ; ; ; 
Buenos Aires;ALBERTI;Estatal;Rural;18;18;18; ; ; ; ; ;12;12;10;6;8;7;14;5; ;2;1;12;9;3;4;3;4;4;4;3;2; ; ;12;3; ;1; ;7;6;1;1;11;13;5;7;3;9;5;4;7;6; ; ;1;9;1;14;6; ; ; ; ; 
Buenos Aires;ALBERTI;Estatal;Urbano;11;11;11; ; ; ; ; ;7;8;6;1;3;2;10;5; ; ;1;9;4; ;4; ; ; ; ; ; ; ; ;6;2;3;6; ;5;1; ;3;11;10;6;8;4;4;4;3;4;4; ; ; ;3; ;7;5; ; ; ; ; 
Buenos Aires;ALMIRANTE BROWN;Estatal;Urbano;247;247;246; ; ; ; ;1;236;201;116;34;76;95;241;67; ;41;15;228;48;86;49;13;5;25;31;42;17; ;11;228;2;5;47;12;158;22;20;35;229;170;125;95;35;114;78;55;118;105;3; ;10;55;37;217;170; ; ; ; ; 
Buenos Aires;ALMIRANTE BROWN;Privado;Urbano;173;163;163;8;1; ; ;1;143;117;80;80;95;83;149;74; ;29;9;152;14;26;23;7;11;21;21;24;11; ;4;1; ;158;63;7;102;1;7;41;154;104;42;92;92;1; ;163;79;43;15;17;4;95;76;98;63;5;48;46;44;1
Buenos Aires;ARRECIFES;Estatal;Rural;17;17;17; ; ; ; ; ;14;13;6;2;5;6;14;6; ;6; ;12;3;3;3; ; ;1;2;1; ; ; ;15;2; ;1;1;4;10;2;2;13;16;4;9;2;6;6;5;4;3; ; ;1;6;2;9;6; ; ; ; ; 
Buenos Aires;ARRECIFES;Estatal;Urbano;29;29;29; ; ; ; ; ;26;19;10;4;15;16;25;15; ;7;2;23;8;11;5;2; ;5;8;4;5; ;4;23;5;1;7;2;15;5;4;3;26;16;13;11;7;15;9;5;15;15; ; ; ;10;7;25;19; ; ; ; ; 
Buenos Aires;AVELLANEDA;Estatal;Urbano;185;181;181; ;1; ; ;1;133;156;99;32;61;64;164;60; ;19;13;151;65;41;54;15;8;19;23;24;18; ;3;149;9;16;46;10;114;11;12;26;170;128;95;78;49;122;51;8;77;62;6;4;5;76;50;157;123; ; ; ; ; 
Buenos Aires;AVELLANEDA;Privado;Urbano;111;111;111;1; ; ; ;1;94;98;82;68;74;61;107;51; ;22;9;105;30;19;21;8;16;20;18;15;9; ;9; ; ;110;32;2;82;7;5;24;109;89;34;76;72;1; ;110;45;16;12;16;1;71;65;59;36;13;29;26;28;4
Buenos Aires;AYACUCHO;Estatal;Rural;42;41;32;3;7; ; ;1;23;28;14;4;9;20;29;15; ;1; ;28;11;8;6;2;1;1;6;3;1; ; ;37; ;1;1; ;6;24;4;5;25;36;10;19;3;21;13;8;10;9; ; ;1;4; ;25;9; ; ; ; ; 
Buenos Aires;AYACUCHO;Estatal;Urbano;24;24;23; ;1; ; ; ;21;18;9;5;9;15;19;10; ; ;2;16;7;11;4;1;1;5;8;4;3; ; ;17;2;4;6;1;10;3;7;2;22;13;9;9;3;10;6;8;13;12;1; ; ;8;5;21;14; ; ; ; ; 
Buenos Aires;AZUL;Estatal;Rural;44;44;31; ;12;1; ; ;22;29;13;7;13;18;26;13; ;2;1;26;14;4;5;1;2;1;2;5;2; ; ;39;3; ; ; ;9;33;2;2;17;38;11;14;4;9;10;25;11;10; ; ;1;5;2;20;10; ; ; ; ; 
